Date,Item Name,Sales,DayOfWeek,IsWeekend,isPublicHoliday,isSchoolHoliday,Usage,End Stock,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1/12/2024,MUFFIN ENGLISH,19154.77,6,1,0,0,314,,,,,,
1/12/2024,BUN MCCRISPY,19154.77,6,1,0,0,45,,,,,,
1/12/2024,BUN REGULAR,19154.77,6,1,0,0,549,,,,,,
1/12/2024,BUN 4 INCH,19154.77,6,1,0,0,314,,,,,,
1/12/2024,BUN GOURMET,19154.77,6,1,0,0,16,,,,,,
1/12/2024,BUN BIG MAC,19154.77,6,1,0,0,118,,,,,,
2/12/2024,MUFFIN ENGLISH,14121.49,0,0,0,0,162,,,,,,
2/12/2024,BUN MCCRISPY,14121.49,0,0,0,0,25,,,,,,
2/12/2024,BUN REGULAR,14121.49,0,0,0,0,361,,,,,,
2/12/2024,BUN 4 INCH,14121.49,0,0,0,0,229,,,,,,
2/12/2024,BUN GOURMET,14121.49,0,0,0,0,20,,,,,,
2/12/2024,BUN BIG MAC,14121.49,0,0,0,0,86,,,,,,
3/12/2024,BUN BIG MAC,15432.66,1,0,0,0,90,,,,,,
3/12/2024,BUN GOURMET,15432.66,1,0,0,0,37,,,,,,
3/12/2024,BUN 4 INCH,15432.66,1,0,0,0,250,,,,,,
3/12/2024,BUN MCCRISPY,15432.66,1,0,0,0,32,,,,,,
3/12/2024,MUFFIN ENGLISH,15432.66,1,0,0,0,224,,,,,,
3/12/2024,BUN REGULAR,15432.66,1,0,0,0,387,,,,,,
4/12/2024,BUN BIG MAC,18972.7,2,0,0,0,142,,,,,,
4/12/2024,MUFFIN ENGLISH,18972.7,2,0,0,0,312,,,,,,
4/12/2024,BUN MCCRISPY,18972.7,2,0,0,0,23,,,,,,
4/12/2024,BUN REGULAR,18972.7,2,0,0,0,550,,,,,,
4/12/2024,BUN 4 INCH,18972.7,2,0,0,0,277,,,,,,
4/12/2024,BUN GOURMET,18972.7,2,0,0,0,19,,,,,,
5/12/2024,MUFFIN ENGLISH,19367.1,3,0,0,0,230,,,,,,
5/12/2024,BUN MCCRISPY,19367.1,3,0,0,0,60,,,,,,
5/12/2024,BUN REGULAR,19367.1,3,0,0,0,621,,,,,,
5/12/2024,BUN 4 INCH,19367.1,3,0,0,0,264,,,,,,
5/12/2024,BUN GOURMET,19367.1,3,0,0,0,20,,,,,,
5/12/2024,BUN BIG MAC,19367.1,3,0,0,0,115,,,,,,
7/12/2024,BUN BIG MAC,23208.18,5,1,0,0,-92,,,,,,
7/12/2024,BUN GOURMET,23208.18,5,1,0,0,0,,,,,,
7/12/2024,BUN 4 INCH,23208.18,5,1,0,0,-154,,,,,,
7/12/2024,BUN REGULAR,23208.18,5,1,0,0,-35,,,,,,
7/12/2024,BUN MCCRISPY,23208.18,5,1,0,0,-660,,,,,,
7/12/2024,MUFFIN ENGLISH,23208.18,5,1,0,0,-380,,,,,,
8/12/2024,BUN GOURMET,19353.33,6,1,0,0,4,,,,,,
8/12/2024,BUN 4 INCH,19353.33,6,1,0,0,205,,,,,,
8/12/2024,BUN BIG MAC,19353.33,6,1,0,0,88,,,,,,
8/12/2024,BUN MCCRISPY,19353.33,6,1,0,0,690,,,,,,
8/12/2024,MUFFIN ENGLISH,19353.33,6,1,0,0,570,,,,,,
8/12/2024,BUN REGULAR,19353.33,6,1,0,0,449,,,,,,
9/12/2024,MUFFIN ENGLISH,15046.25,0,0,0,0,235,,,,,,
9/12/2024,BUN MCCRISPY,15046.25,0,0,0,0,30,,,,,,
9/12/2024,BUN REGULAR,15046.25,0,0,0,0,414,,,,,,
9/12/2024,BUN 4 INCH,15046.25,0,0,0,0,265,,,,,,
9/12/2024,BUN GOURMET,15046.25,0,0,0,0,24,,,,,,
9/12/2024,BUN BIG MAC,15046.25,0,0,0,0,146,,,,,,
10/12/2024,BUN GOURMET,16607.32,1,0,0,0,0,,,,,,
10/12/2024,BUN BIG MAC,16607.32,1,0,0,0,104,,,,,,
10/12/2024,BUN REGULAR,16607.32,1,0,0,0,447,,,,,,
10/12/2024,BUN MCCRISPY,16607.32,1,0,0,0,30,,,,,,
10/12/2024,MUFFIN ENGLISH,16607.32,1,0,0,0,204,,,,,,
10/12/2024,BUN 4 INCH,16607.32,1,0,0,0,235,,,,,,
11/12/2024,MUFFIN ENGLISH,18811.51,2,0,0,0,223,,,,,,
11/12/2024,BUN MCCRISPY,18811.51,2,0,0,0,60,,,,,,
11/12/2024,BUN REGULAR,18811.51,2,0,0,0,587,,,,,,
11/12/2024,BUN 4 INCH,18811.51,2,0,0,0,265,,,,,,
11/12/2024,BUN GOURMET,18811.51,2,0,0,0,41,,,,,,
11/12/2024,BUN BIG MAC,18811.51,2,0,0,0,150,,,,,,
12/12/2024,BUN GOURMET,20667.53,3,0,0,0,32,,,,,,
12/12/2024,MUFFIN ENGLISH,20667.53,3,0,0,0,-8340,,,,,,
12/12/2024,BUN MCCRISPY,20667.53,3,0,0,0,0,,,,,,
12/12/2024,BUN REGULAR,20667.53,3,0,0,0,556,,,,,,
12/12/2024,BUN 4 INCH,20667.53,3,0,0,0,296,,,,,,
12/12/2024,BUN BIG MAC,20667.53,3,0,0,0,94,,,,,,
13/12/2024,BUN BIG MAC,24579.15,4,0,0,0,180,,,,,,
13/12/2024,BUN GOURMET,24579.15,4,0,0,0,24,,,,,,
13/12/2024,BUN 4 INCH,24579.15,4,0,0,0,420,,,,,,
13/12/2024,BUN REGULAR,24579.15,4,0,0,0,595,,,,,,
13/12/2024,BUN MCCRISPY,24579.15,4,0,0,0,60,,,,,,
13/12/2024,MUFFIN ENGLISH,24579.15,4,0,0,0,8910,,,,,,
14/12/2024,BUN GOURMET,22553.27,5,1,0,0,24,,,,,,
14/12/2024,BUN 4 INCH,22553.27,5,1,0,0,297,,,,,,
14/12/2024,BUN BIG MAC,22553.27,5,1,0,0,270,,,,,,
14/12/2024,BUN MCCRISPY,22553.27,5,1,0,0,30,,,,,,
14/12/2024,MUFFIN ENGLISH,22553.27,5,1,0,0,972,,,,,,
14/12/2024,BUN REGULAR,22553.27,5,1,0,0,595,,,,,,
15/12/2024,MUFFIN ENGLISH,19129.57,6,1,0,0,-300,,,,,,
15/12/2024,BUN MCCRISPY,19129.57,6,1,0,0,60,,,,,,
15/12/2024,BUN REGULAR,19129.57,6,1,0,0,482,,,,,,
15/12/2024,BUN 4 INCH,19129.57,6,1,0,0,265,,,,,,
15/12/2024,BUN GOURMET,19129.57,6,1,0,0,29,,,,,,
15/12/2024,BUN BIG MAC,19129.57,6,1,0,0,-4,,,,,,
17/12/2024,BUN GOURMET,18416.02,1,0,0,0,29,,,,,,
17/12/2024,BUN BIG MAC,18416.02,1,0,0,0,121,,,,,,
17/12/2024,BUN 4 INCH,18416.02,1,0,0,0,350,,,,,,
17/12/2024,BUN REGULAR,18416.02,1,0,0,0,478,,,,,,
17/12/2024,BUN MCCRISPY,18416.02,1,0,0,0,28,,,,,,
17/12/2024,MUFFIN ENGLISH,18416.02,1,0,0,0,185,,,,,,
18/12/2024,MUFFIN ENGLISH,18586.08,2,0,0,0,355,,,,,,
18/12/2024,BUN MCCRISPY,18586.08,2,0,0,0,43,,,,,,
18/12/2024,BUN REGULAR,18586.08,2,0,0,0,453,,,,,,
18/12/2024,BUN 4 INCH,18586.08,2,0,0,0,230,,,,,,
18/12/2024,BUN GOURMET,18586.08,2,0,0,0,19,,,,,,
18/12/2024,BUN BIG MAC,18586.08,2,0,0,0,129,,,,,,
19/12/2024,BUN BIG MAC,21454.51,3,0,0,1,146,,,,,,
19/12/2024,BUN GOURMET,21454.51,3,0,0,1,29,,,,,,
19/12/2024,BUN 4 INCH,21454.51,3,0,0,1,307,,,,,,
19/12/2024,MUFFIN ENGLISH,21454.51,3,0,0,1,-300,,,,,,
19/12/2024,BUN MCCRISPY,21454.51,3,0,0,1,49,,,,,,
19/12/2024,BUN REGULAR,21454.51,3,0,0,1,626,,,,,,
20/12/2024,BUN GOURMET,24549.65,4,0,0,1,45,,,,,,
20/12/2024,BUN BIG MAC,24549.65,4,0,0,1,172,,,,,,
20/12/2024,BUN REGULAR,24549.65,4,0,0,1,692,,,,,,
20/12/2024,BUN MCCRISPY,24549.65,4,0,0,1,44,,,,,,
20/12/2024,MUFFIN ENGLISH,24549.65,4,0,0,1,877,,,,,,
20/12/2024,BUN 4 INCH,24549.65,4,0,0,1,363,,,,,,
21/12/2024,MUFFIN ENGLISH,24122.95,5,1,0,1,360,,,,,,
21/12/2024,BUN MCCRISPY,24122.95,5,1,0,1,53,,,,,,
21/12/2024,BUN REGULAR,24122.95,5,1,0,1,613,,,,,,
21/12/2024,BUN 4 INCH,24122.95,5,1,0,1,346,,,,,,
21/12/2024,BUN GOURMET,24122.95,5,1,0,1,39,,,,,,
21/12/2024,BUN BIG MAC,24122.95,5,1,0,1,142,,,,,,
