Date,Item Name,Sales,DayOfWeek,IsWeekend,isPublicHoliday,isSchoolHoliday,Usage,End Stock,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
2024-12-01,MUFFIN ENGLISH,19154.77,6,1,0,0,314,,,,,,
2024-12-01,BUN MCCRISPY,19154.77,6,1,0,0,45,,,,,,
2024-12-01,BUN REGULAR,19154.77,6,1,0,0,549,,,,,,
2024-12-01,BUN 4 INCH,19154.77,6,1,0,0,314,,,,,,
2024-12-01,BUN GOURMET,19154.77,6,1,0,0,16,,,,,,
2024-12-01,BUN BIG MAC,19154.77,6,1,0,0,118,,,,,,
2024-12-02,MUFFIN ENGLISH,14121.49,0,0,0,0,162,,,,,,
2024-12-02,BUN MCCRISPY,14121.49,0,0,0,0,25,,,,,,
2024-12-02,BUN REGULAR,14121.49,0,0,0,0,361,,,,,,
2024-12-02,BUN 4 INCH,14121.49,0,0,0,0,229,,,,,,
2024-12-02,BUN GOURMET,14121.49,0,0,0,0,20,,,,,,
2024-12-02,BUN BIG MAC,14121.49,0,0,0,0,86,,,,,,
2024-12-03,BUN BIG MAC,15432.66,1,0,0,0,90,,,,,,
2024-12-03,BUN GOURMET,15432.66,1,0,0,0,37,,,,,,
2024-12-03,BUN 4 INCH,15432.66,1,0,0,0,250,,,,,,
2024-12-03,BUN MCCRISPY,15432.66,1,0,0,0,32,,,,,,
2024-12-03,MUFFIN ENGLISH,15432.66,1,0,0,0,224,,,,,,
2024-12-03,BUN REGULAR,15432.66,1,0,0,0,387,,,,,,
2024-12-04,BUN BIG MAC,18972.7,2,0,0,0,142,,,,,,
2024-12-04,MUFFIN ENGLISH,18972.7,2,0,0,0,312,,,,,,
2024-12-04,BUN MCCRISPY,18972.7,2,0,0,0,23,,,,,,
2024-12-04,BUN REGULAR,18972.7,2,0,0,0,550,,,,,,
2024-12-04,BUN 4 INCH,18972.7,2,0,0,0,277,,,,,,
2024-12-04,BUN GOURMET,18972.7,2,0,0,0,19,,,,,,
2024-12-05,MUFFIN ENGLISH,19367.1,3,0,0,0,230,,,,,,
2024-12-05,BUN MCCRISPY,19367.1,3,0,0,0,60,,,,,,
2024-12-05,BUN REGULAR,19367.1,3,0,0,0,621,,,,,,
2024-12-05,BUN 4 INCH,19367.1,3,0,0,0,264,,,,,,
2024-12-05,BUN GOURMET,19367.1,3,0,0,0,20,,,,,,
2024-12-05,BUN BIG MAC,19367.1,3,0,0,0,115,,,,,,
2024-12-07,BUN BIG MAC,23208.18,5,1,0,0,-92,,,,,,
2024-12-07,BUN GOURMET,23208.18,5,1,0,0,0,,,,,,
2024-12-07,BUN 4 INCH,23208.18,5,1,0,0,-154,,,,,,
2024-12-07,BUN REGULAR,23208.18,5,1,0,0,-35,,,,,,
2024-12-07,BUN MCCRISPY,23208.18,5,1,0,0,-660,,,,,,
2024-12-07,MUFFIN ENGLISH,23208.18,5,1,0,0,-380,,,,,,
2024-12-08,BUN GOURMET,19353.33,6,1,0,0,4,,,,,,
